forpoang,rec_gate,hylla_ny,struktur_kill,v23_status,v23_fel,src,kluster,namn,koncept,goods_id,url_se,alt_ids,dna,tier,elim,orsak,rec,rec_kalla,pris_usd,temu_pris_sek,vart_pris,golv_namn,golv_pris,ankare_namn,ankare_pris,se_pris,q4,hook,risk,temu_hamtad
82.0,GREEN,PASS,False,,,v22/fas2/djur.json,djur,"chicken coop / poultry run cover, waterproof tarp with elastic cords (engelsk slug; svensk titel ej lasbar - BLOCKED_SOU","Vinterhuv till honsgarden - formsydd presenningsvav med resarlina/bungee, tackar tak och vindsida pa en walk-in honsgard agaren redan har",606061826278697,https://www.temu.com/se/g-606061826278697.html,,72.0,B,,PASS,91,snippet,21.0,,629.0,,,"vidaXL Honsgard med tak 2,5x6x2,25 m (kontextankare for objektet, inte for forme",5859.0,629.0,,Blaser presenningen av honsgarden?,Att formen i praktiken ar 'en presenning' - da ar den mass-commoditiserad i varje bygghandel och agaren har redan en. Och matten: agaren vet inte sin gards matt utantill (gate 7).,False
81.0,?,PASS,False,,,dataset(V2.1),pool,"Hot Tub Vacuum Spa Vac — spa vacuum for hot tub with strong suction, portable handheld, for hot tub/pond/inflatable pool",Bottnen i ett fast utomhusspabad,601099612894629,https://www.temu.com/se/g-601099612894629.html,,76.0,ELIM,shelf,"Jula säljer exakt formen (sladdlös handhållen spa-dammsugare, Bestway Lay-Z-Spa) för 399 kr på rea / 599 kr ordinarie, och Pricerunner har samma form från 289 kr. Fackhandelns 1 189–1 295 kr är märkesvaror (Pool Blaster) som inte bär ett Temu-pris över Julas.",,,,,,Poolkungen.se / Spabadsbutiken.se (fackhandel),990.0,Spabadsbutiken Pool Blaster Spa Vac Plus Bottensug,1189.0,,,,Sugkraft/kvalitet på en billig handpump-modell kan ge dåliga recensioner; om videon visar pool i stället för spabad faller den (fel objekt i material).,False
80.0,GREEN,PASS,False,,,dataset(V2.1),garage,"Universal Car Charging Magnetic Cover — Electric Outdoor EV Charger Plug, dustproof/rainproof",Elbilens laddport med isatt laddhandtag,601099874504144,https://www.temu.com/se/g-601099874504144.html,,70.0,ELIM,shelf,"Laddportsskyddet i exakt samma magnetform säljs av Clas Ohlson för 169 kr och Elgiganten för 129 kr (ord. 209). Laddkabelhållaren finns hos Clas Ohlson 199 kr, Kjell 299,90 kr och Deltaco från 65 kr på Pricerunner — ingen synlig ankare ≥1,6× över kedjepriset.",6,snippet,,,,Fyndiq (marketplace),,Kjell & Company Väggfäste för laddkabel Typ 2,299.9,,,,Syskonlistning till 601099579267397 — välj den vars video är bäst; dyrare inköp ger SE-pris ~499 som kan vara för högt för en flärp,False
80.0,?,PASS,False,,,dataset(V2.1),pool,"1pc Hot Tub Cover Cap Heavy Duty Polyester Spa Sun Shield and Hot Tub Cover Protector (ur söktitel, NZ-listning)",Spalocket på fast spabad,601099524126091,https://www.temu.com/se/g-601099524126091.html,,75.0,B (dubblett),,,,,,,,Spabadsbutiken.se,895.0,Spabadsbutiken Cover Cap deLuxe 210x210 cm,1295.0,,,,Passform; material okänt.,False
80.0,GREEN,PASS,False,HARD REJECT,MARKETPLACE FAILURE,v23/dolda-parlor.json,dolda-parlor,"Bilspöhållare — sugkopp/magnet för biltak och fönster, 4 spön",Spöhållare som fästs med sugkoppar på bilens rutor/tak (eller magnet på plåten) så riggade spön åker utanpå bilen mellan fiskeplatserna i stället för i baksätet där de trasslar och knäcks. Höstens gäddfiske (sep–nov) är bilburet: man flyttar mellan vikar flera gånger per dag.,601105758637623,https://www.temu.com/se/g-601105758637623.html,601100966945729 601099664597992 601102617340021 601099516061976 601100543830067,70.0,"ALTERNATIVE_LISTING_REQUIRED + VERIFY — (1) läs Fyndiq/Amazon-priserna på sugkoppsformen, (2) hitta en $10–15-listning med ≥ 4,7 och video av spön på en riktig bil, (3) prova sugkopparna i kylskåpstemperatur. Håller det: /ny-produkt vid 399 kr, hook 'Ligger spöna löst i bilen?', Vac-Rac 1 699 i bild.",,"PENDING_VERIFICATION: kedjorna (Biltema/Jula/Clas/Rusta) saknar bilformen (Biltema har båtspöhållare). Ankaret Vac-Rac 1 699 kr = 4,3× vid 399 och vår produkt ser ut som ankaret. MEN marketplace-golvet (Fyndiq/Amazon.se sugkoppsvarianter) är oläst och är den fälla som tog 4 av 7 högpoängare i förra ",53,snippet,5.0,,349.0,Fyndiq '2 st Fiske Spöhållare Bil Justerbar … Suct' och 'Justerbar horisontell f,,"Guideline Vac-Rac Standard (sugkopp, 4 spön) 1 699 kr · Vac-Rac Combi Magnetic 1",1699.0,349.0,Q4 NOW,Ligger spöna löst i bilen?,"Marketplace-golvet: Fyndiq/Amazon.se säljer sugkoppsformen och ligger sannolikt 150–300 kr — då är 349 ett problem, inte ett ankare. Näst: sugkoppar i minusgrader släpper (produktens fysik i november)",False
79.0,?,PASS,False,,,dataset(V2.1),pool,"1 pack heavy duty 600D polyester spa cover for hot tub outdoor waterproof, brown (ur söktitel, AU-listning)",Spalocket/hela spabadet,601099527353718,https://www.temu.com/se/g-601099527353718.html,,74.0,B (dubblett),,,,,,,,Spabadsbutiken.se,895.0,Spabadsbutiken Cover Cap deLuxe 210x210 cm,1295.0,,,,Passform; material okänt.,False
79.0,?,PASS,False,,,batch1/fritidshus.json,fritidshus,Isolerat överdrag för utomhuskranen (frostskydd utan att stänga av vattnet i förväg),Utekran / trädgårdskran / sommarvattenledningens tappställe på fritidshuset,601099660689841,https://www.temu.com/se/g-601099660689841.html,601103479432145 601099523158554,74.0,VERIFY,,PASS — formen (passivt skumöverdrag som träs på en befintlig kran) saknas helt; det svenska utbudet löser samma problem med dyrare aktiva metoder (byte av kran eller elvärme) PriceRunner 'utekran vinterskydd'/'vattenkran isolering frost' (9+32 träffar): enbart AKTIVA lösningar — frostfria ersättning,,,,,,PriceRunner 'utekran vinterskydd'/'vattenkran isolering frost' (9+32 träffar): e,,"Gustavsberg Frost Proof Outdoor Tap (ersättningskran, annan mekanism)",449.0,,,Har du tömt utekranen inför vintern?,"Exakt pris okänt (Seznam gav inga träffar för de tre kandidatlistningarna, bara en icke-identisk jämförelsepunkt från en tredjepartssajt). Lågt genomsnittligt kvittovärde riskerar att kräva paketering",False
77.0,?,PASS,False,,,dataset(V2.1),djur,,utekatten + trappen/altanen/uthuset,601099539458313,https://www.temu.com/se/g-601099539458313.html,,72.0,B (dubblett),,,,,,,,"PriceRunner-utdrag: Kerbl Outdoor Cat House 1 017 kr, QLS isolerat trä 1 126–1 2",1017.0,Kerbl Outdoor Cat House Family (trä),1017.0,,,,Dubblett — välj den av de tre Oxford-kojorna med bäst video när Temu-hämtningen är gjord,False
77.0,?,PASS,False,,,v22/fas2/djur.json,djur,"chicken coop / poultry run cover, waterproof tarp with elastic cords (engelsk slug; svensk titel ej lasbar - BLOCKED_SOU","Vinterhuv till honsgarden - formsydd presenningsvav med resarlina/bungee, tackar tak och vindsida pa en walk-in honsgard agaren redan har",601099756170775,https://www.temu.com/se/g-601099756170775.html,,72.0,B,,PASS,,,,,699.0,,,"vidaXL Honsgard med tak 2,5x6x2,25 m (kontextankare for objektet, inte for forme",5859.0,699.0,,Blaser presenningen av honsgarden?,Att formen i praktiken ar 'en presenning' - da ar den mass-commoditiserad i varje bygghandel och agaren har redan en. Och matten: agaren vet inte sin gards matt utantill (gate 7).,False
77.0,?,PASS,False,,,v22/fas2/djur.json,djur,"chicken coop / poultry run cover, waterproof tarp with elastic cords (engelsk slug; svensk titel ej lasbar - BLOCKED_SOU","Vinterhuv till honsgarden - formsydd presenningsvav med resarlina/bungee, tackar tak och vindsida pa en walk-in honsgard agaren redan har",601099858645280,https://www.temu.com/se/g-601099858645280.html,,72.0,B,,PASS,,,,,699.0,,,"vidaXL Honsgard med tak 2,5x6x2,25 m (kontextankare for objektet, inte for forme",5859.0,699.0,,Blaser presenningen av honsgarden?,Att formen i praktiken ar 'en presenning' - da ar den mass-commoditiserad i varje bygghandel och agaren har redan en. Och matten: agaren vet inte sin gards matt utantill (gate 7).,False
76.0,GREEN,PASS,False,,,dataset(V2.1),mc,"* Cover, Heavy Duty Marine Grade Fabric, * Cover For Kawasaki, Honda, *, Yamaha, And More. Protection Against Water, Win","ATV-kapell (marine grade-tyg, universal)",601099514234509,https://www.temu.com/se/g-601099514234509.html,,66.0,ELIM,shelf,"Jula säljer exakt samma form (allväders-ATV-överdrag med resår och väska) för 399 kr och Biltema 4-lagers helkapell för 429 kr, dvs på eller under vad vi kan ta betalt med annonskostnad. Inget synligt fackhandelsankare ≥1,6× hittades.",2,snippet,,,,Biltema (ATV-kapell finns troligen ~300–400 kr),,Biltema Helkapell 406 x 165 x 120 cm,429.0,,,,Biltema/Jula kan ha samma form ~300 kr utan att ett märkesankare finns,False
76.0,?,PASS,False,HARD REJECT,PRICE FAILURE,v22/fas2/jakt.json,jakt,"1pc 4W trail camera solar panels, 12V output solar panel kit with 6000 mAh battery, solar battery charger for hunting ga",Solpanel / extern stromforsorjning till atelkameran och foderautomaten,601099525192346,https://www.temu.com/se/g-601099525192346.html,,71.0,B,,PASS_via_ankare,,,,,599.0,,,Hunter Solcellspanel Atelkamera (jakt.se) — big-box saknar formen: Biltema har a,1299.0,599.0,,Tar batterierna slut i atelkameran?,Priset ar olast. Blir det over ca $28 faller ekonomin pa samma satt som systerlistningen; blir det $18-25 haller hela kedjan.,False
76.0,GREEN,?,False,,,v22/fas2/tomt.json,tomt,"Thatch Rake For Lawn 15in Thatching Rake With Sharp Dethatching Blade, Manual Dethatcher Scarifier Tool For Dead Grass R",manuell mossräfsa/vertikalräfsa för gräsmattan,601103047271003,https://www.temu.com/se/g-601103047271003.html,,71.0,B,,PENDING_VERIFICATION,99,snippet+,21.0,,649.0,,,elektrisk vertikalskärare/mossrivare (kategorin finns hos Jula och Biltema),,649.0,,Har du mer mossa än gräs i gräsmattan?,Hyllan. Trädgårdsredskap är Jula/Biltemas hemmaplan — samma mönster som fällde rännrensaren och lövsilen i hus-klustret ('bygghandelns hemmaplan'). Om Jula har en mossräfsa för 249 kr är 649 kr omöjli,False
76.0,?,?,False,REJECT-INTRESSANT,PRICE FAILURE,v22/fas2/ved-eldstad.json,ved-eldstad,"heavy duty log splitter cover waterproof oxford cloth, 15-45 ton gasoline or electric log splitter, 83 x 45 x 39, weathe",vedklyvs-overdrag,601099603802865,https://www.temu.com/g-601099603802865.html,,76.0,B,economics,FAIL,,,,,,,,,,,,Står vedklyven ute i regnet?,"Ekonomin: de två SE-priser som gick att läsa (436,75 och 493,90 kr) ger landad kostnad 655–741 kr, långt över 420-kronorstaket. Konceptet kräver en billigare listning (överdrag till liten el-klyv).",False
76.0,?,?,False,,,v22/fas2/ved-eldstad.json,ved-eldstad,"heavy duty log splitter cover waterproof oxford cloth, 45 ton, UV-skydd (SE-titel: loggsplitterskydd 210,82 cm x 114,3 c",vedklyvs-overdrag,601099589782206,https://www.temu.com/g-601099589782206.html,,76.0,B,,PASS,,,,,,,,,,,,Står vedklyven ute i regnet?,"Ekonomin: de två SE-priser som gick att läsa (436,75 och 493,90 kr) ger landad kostnad 655–741 kr, långt över 420-kronorstaket. Konceptet kräver en billigare listning (överdrag till liten el-klyv).",False
75.0,?,PASS,False,,,dataset(V2.1),bat,"Boat cover support poles 2 pcs, adjustable 22.8–60.1 in, webbing strap",Presenning över båt på trailer/bockar (vinterförvaring),601099584417825,https://www.temu.com/se/g-601099584417825.html,,70.0,ELIM,shelf,"Biltema säljer exakt samma form (teleskopisk alu-stötta med gummiändar, 91–164 cm) för 145 kr styck, dvs 290 kr för två – under vad ett 2-pack rimligen kan ta betalt med annonskostnad. Jula har samma form (Kayoba teleskopstag) och fackhandelns ankare på 439 kr är per stötta, inte per par.",,,,,,"Osculati Teleskopiskt presenningsstöd 90–160 cm 289 kr, 1 butik (PR); Biltema/Ju",289.0,Hjertmans Teleskopstötta för båtkapell 85–150 cm,439.0,,,,Biltema/Jula kan ha samma teleskopstöd för ~200 kr — kunde inte verifieras i dag,False
75.0,?,PASS,False,,,dataset(V2.1),djur,,utekatten + trappen/altanen/uthuset,601102077704284,https://www.temu.com/se/g-601102077704284.html,,70.0,B (dubblett),,,,,,,,"PriceRunner-utdrag: Kerbl Outdoor Cat House 1 017 kr, QLS isolerat trä 1 126–1 2",1017.0,Kerbl Outdoor Cat House Family (trä),1017.0,,,,'easy to assemble' = monteringssteg; dubblett av 601101118338671,False
75.0,?,PASS,False,,,dataset(V2.1),handmaskiner,1pc Shoulder Strap Trimmer Strap Blower Straps Strap Universal For Weedeater Leaf Blower Multi Head System Grass Trimmer,"Lövblåsen (handhållen, batteri/bensin 3–5 kg) — och trimmern",601099519754003,https://www.temu.com/se/g-601099519754003.html,,70.0,ELIM,shelf,"Jula säljer en vadderad universalsele (Meec) för 349 kr och Clas Ohlson en dubbelsele för 499 kr, och den enkla remformen ligger redan på 149 kr på Pricerunner. Vi kan inte rimligen ta mer än ~249 kr för en enkel vadderad rem, och då finns kedjans bättre produkt ett steg upp.",,,,,,"Biltema/Jula säljer enkel bärsele för trimmer/röjsåg (samma form, 60–150 kr ur k",,Stihl Röjsele (Pricerunner),488.0,,,,Detta är inte en ny produkt utan en höstvinkel (lövblås) på axelbältet som redan säljs — och lövblåsar utan remögla ger 'passar inte'-returer,False
75.0,?,PASS,False,,,dataset(V2.1),jakt,"Binocular harness chest pack with detachable rangefinder pouch, adjustable bino harness, rain cover (ur sökträff)",Handkikare,601099523680456,https://www.temu.com/se/g-601099523680456.html,,70.0,B (dubblett),,,,,,,,Hylte Jakt & Lantman (fackhandel),149.0,Blaser Kikarväska med Sele HunTec Camo (Jakt och Fiskebutiken),999.0,,,,WebFetch på /se-sidan 2026-09-04 01:05 UTC visade 'Ej tillgänglig för köp' — kan vara SSR-skalet eller att listningen är borta på SE. Verifiera vid central hämtning; annars reserv till 601099566089885,False
75.0,?,PASS,False,,,dataset(V2.1),ved,"Vedställsöverdrag med öppningsbar front (för 2-plans litet ställ, endast överdrag)",vedställ utomhus,601099588053506,https://www.temu.com/se/g-601099588053506.html,,70.0,B,,,,,,,,UNKNOWN,,"Vedställsöverdrag 2 st 174x173 cm (Dealproffsen, ord. 899)",549.0,,,,Passformen: överdraget är sytt för ett USA-ställ; svenska ställ har andra mått → returer.,False
75.0,?,PASS,False,,,v22/fas2/djur.json,djur,"dog run / kennel cover, waterproof outdoor (engelsk slug; svensk titel BLOCKED_SOURCE)","Regn-/vinterhuv till hundgarden - samma formsydda vav, hundagaren pa landet",601099679566501,https://www.temu.com/se/g-601099679566501.html,,70.0,B,,PASS,,,,,499.0,,,vidaXL Hundgard for utomhusbruk med tak 300x300x200 cm,11769.0,499.0,,Star hunden i regn i hundgarden?,De listningar som gick att prissatta ar for dyra (landad > 420 kr). Konceptet haller - listningen inte. ALTERNATIVE_LISTING_REQUIRED.,False
74.0,?,?,False,,,v22/fas2/djur.json,djur,"heavy duty fence/farm gate wheel, adjustable U-bolt, anti-sagging caster (engelsk slug; svensk titel BLOCKED_SOURCE)",Stodhjul till grinden - hjul med U-bygel som bar upp en hangande grind sa den gar att oppna i lera,601099594874458,https://www.temu.com/se/g-601099594874458.html,,74.0,B,,PENDING_VERIFICATION,,,,,499.0,,,"Stodhjul for grind kraftig (Djurgardens Ridsport, hastfackhandel)",,499.0,,Slapar grinden i leran?,"Bada listningarna med pris ($45 och $85) landar over 420 kr = over 1000 kr-taket. Konceptet haller, listningarna inte - de billiga varianterna saknar prisuppgift. ALTERNATIVE_LISTING_REQUIRED.",False
74.0,?,?,False,,,v22/fas2/djur.json,djur,"heavy duty fence/farm gate wheel, adjustable U-bolt, anti-sagging caster (engelsk slug; svensk titel BLOCKED_SOURCE)",Stodhjul till grinden - hjul med U-bygel som bar upp en hangande grind sa den gar att oppna i lera,601099553357643,https://www.temu.com/se/g-601099553357643.html,,74.0,B,,PENDING_VERIFICATION,,,,,399.0,,,"Stodhjul for grind kraftig (Djurgardens Ridsport, hastfackhandel)",,399.0,,Slapar grinden i leran?,"Bada listningarna med pris ($45 och $85) landar over 420 kr = over 1000 kr-taket. Konceptet haller, listningarna inte - de billiga varianterna saknar prisuppgift. ALTERNATIVE_LISTING_REQUIRED.",False
74.0,GREEN,PASS,False,,,v22/fas2/garage-fordon.json,garage-fordon,"Car Door Step Hook, Heavy-Duty Roof Access Pedal for SUV/Truck/Jeep, Anti-Slip Aluminum Step Ladder with Glass Breaker",Hopfällbart fotsteg som hakas i bildörrens låsbygel så ägaren når biltaket,605899959666497,https://www.temu.com/se/g-605899959666497.html,,64.0,C,shelf,FAIL,99,snippet+,10.0,,349.0,,,Taktältarna 'Hjälpsteg till bil' / SmartaSaker 'Steg till bildörren',289.0,349.0,,Når du inte upp till biltaket?,"Fyra–sju svenska butiker säljer exakt samma aluminiumsteg för 289–375 kr. Inget märkesankare ≥ 1,6× finns; Biltemas hjulstege är en annan form men samma jobb.",False
