status,fel,källa,namn,goods_id,temu_url,pris,live,dna,q4,golv,material,orsak,agent_status
REJECT-INTRESSANT,PRICE FAILURE,evergreen,"Magnetisk trådlös kopplingskamera för släp/husvagn (telefon-app, batteri)",601099523116633,https://www.temu.com/se/g-601099523116633.html,UNKNOWN,nej,64,EVERGREEN,"Amazon.se MHCABSR 'Förbättrad trådlös backup-kamera magnetisk hitch' (720P, wifi till telefon) — SAMMA FORM; pris ej läsbart (HTTP 500 två gånger). Fyndiq 'Backkamera för dragkrok 3MP 2K … utan magnet' fanns i sökträff m",ej sett,"Hämtning blockerad; familjen 89,75–107,33 USD → landad 937–1 314 kr, över taket. Amazon.se MHCABSR 1 050, Prylstaden 895, Camping4u 1 995. PTZ-arketypen håller — kräver listning ≤ 28 USD.","ALTERNATIVE_LISTING_REQUIRED (pris) + PENDING_VERIFICATION (Amazon-golv). Verifiera i ordning: (1) Amazon.se-pris på B0C993S4R5, (2) Seznam/Temu-pris på 6010995"
REJECT-INTRESSANT,LISTING FAILURE,evergreen,Däcklyftrem / hjullyfthjälp för däckbytet (koncept — ingen Temu-listning funnen),,https://www.temu.com/search_result.html?search_key=wheel%20lifting%20strap%20tire%20carry%20handle  (söklänk — ingen produktlistning finns på Temu),UNKNOWN,nej,60,Q4 NOW,"Ingen svensk produkt funnen i formen (v22 garage-fordon: bara hjuldolly hydraulisk hos Biltema, 2000039919)",—,"Ingen Temu-listning på 5+9 sökningar. Q4 NOW (däckbyte okt–nov), ingen svensk produkt i formen. Finns kanske inte som massprodukt.","ALTERNATIVE_LISTING_REQUIRED — sök 'wheel lifting strap', 'tire lift assist strap', 'wheel hanger strap' när Temu-sök svarar; hittas inget: parkera som egen-pro"
REJECT-INTRESSANT,LISTING FAILURE,dolda pärlor,Hjullyftrem / bärhandtag för vinterhjul (däckbytet),,https://www.temu.com/search_result.html?search_key=tire%20carrying%20strap%20wheel%20handle  (söklänk — ingen produktlistning finns på Temu),UNKNOWN,nej,58,Q4 NOW,"Ej kontrollerad (ingen listning att jämföra mot). Biltema/Jula säljer hjulstege och däckkrokar, inte lyftrem.",—,Ingen listning på fjärde sökrundan. Q4 NOW (däckbyte). Ett hjul har redan ett grepp — formen behövs kanske inte.,"ALTERNATIVE_LISTING_REQUIRED — en sista sökrunda på 'tire carrying strap', 'wheel lifting belt handle', 'tyre tote handle'; noll igen → FAIL strukturellt (forme"
REJECT-INTRESSANT,PRICE FAILURE,present/hobby,"Täljkit kåsa & sked – täljkniv, skedkniv, lindämnen i trälåda",601099528972078,https://www.temu.com/se/g-601099528972078.html,32.55 USD · ★4.6 (5) · 2 bilder · ingen video,ja,55,BLACK WEEK / GIFT,"Amazon.se Eli täljset (10 delar, barn/nybörjare) — pris oläst; Clas Ohlson Täljkit Limited Edition (Morakniv) — pris oläst","2 bilder, ingen video — ej bedömt","Live 32,55 USD ★4,6 (5): landad 340–398 kr → 2,0–2,35× vid 799; BeaverCraft 599–799 lämnar inget ankarutrymme. Konceptet (täljpresent) håller, listningen är för dyr.",PENDING_VERIFICATION — läs Temu-pris + Clas Ohlson-kitets pris. PASS ≤ 17 USD vid 499 kr.
REJECT-INTRESSANT,MARKETPLACE FAILURE,present/hobby,Perkolator 9 koppar rostfri – kaffe över öppen eld,601099616169218,https://www.temu.com/se/g-601099616169218.html,UNKNOWN,nej,52,BLACK WEEK / GIFT,"Fosco emaljperkolator 299 kr (Röda Stjärnan); Jula Kayoba te-/kaffepanna aluminium (ej perkolator) ~99–199 kr — pris ur sökutdrag, oläst exakt — 299 kr",ej sett,"Pris oläst (Temu-budget). Fackhandeln säljer samma form 569–649 kr ≈ 1,1× vårt pris — inget ankarläge. Fosco emalj 299 golv.",PENDING_VERIFICATION — PASS bara om ≤ 14 USD (hög kurs) vid 449–499 kr. Annars WATCH.
REJECT-INTRESSANT,AUDIENCE FAILURE,dolda pärlor,Solcellsbelysning med timer till hönshuset (dagsljusförlängning för värpning),601100057690236,https://www.temu.com/se/g-601100057690236.html,"13 USD (seznam-snippet 2026-09-05 ('chicken coop light with timer led rechargeable solar light bulbs' $13, 4.8/96 %, 99+). OBS: id:t står redan i djur.json (2026-09-04) men var där feltolkat som 'solar predator deterrent' och ELIM:at på rävskrämme-hyllan — titeln är en hönshuslampa. Ombedömt koncept, inte nytt id.)",nej,52,Q4 NOW,Ingen svensk hönshuslampa funnen (Granngården: kunskapsartikel utan produkt; Skånska Byggvaror solcellsbelysning för växthus 'Solcellsbelysning LED' — generisk),ej sett,"13 USD, ekonomi PASS — men 35–70 000 hönsägare under golvet, och produkten är en generisk solcellslampa (Biltema 199 under annat namn). Andra produkt mot hönspubliken om hönsgårdshuven svarar.","WATCH — samma villkor som hönsgårdshuven: testas bara som andra produkt mot samma köpare, eller om publiken kan bevisas > 100 000. Korrigera samtidigt djur.json"
REJECT-INTRESSANT,LISTING FAILURE,present/hobby,Julgranspynt för fiskaren – fiskedrag-ornament 24-pack,601099529794599,https://www.temu.com/se/g-601099529794599.html,UNKNOWN,nej,45,BLACK WEEK / GIFT,Ingen svensk kedja eller fackhandel funnen med fiskedrag-julgranspynt (NordicNest/IKEA/Trademax/Partykungen: bara vanliga kulor). Marketplace (Fyndiq/Amazon.se) ej kontrollerad,ej sett,"Funnen listning är akrylplattor, inte 3D-drag — fel form. Konceptet (fiskedrag-pynt, 249 kr) bärs av klistermärkesvinnaren men fönstret är 5 veckor.","ALTERNATIVE_LISTING_REQUIRED — konceptet håller, hitta en 3D-drag-ornamentlistning ≤ 8 USD/24 st; först då pris/material."
HARD REJECT,MARKETPLACE FAILURE,bänk (fas 1 / V2.2 / batch 1),"Grindhjul fjäderbelastat 4""",601102369829095,https://www.temu.com/se/g-601102369829095.html,"18,89 USD · ★4,8 (77) · 3 bilder · ingen video",ja,74,EVERGREEN,CDON 249 kr identisk (Nordmagasinet); Lantkompaniet VOSS 559 är en större gårdsgrindsmodell,packshot på vitt,Klyvkonsmönstret: identisk form på marketplace under vårt pris.,—
HARD REJECT,PRICE FAILURE,bänk (fas 1 / V2.2 / batch 1),Solpanel 4W till åtelkamera,601099525192346,https://www.temu.com/se/g-601099525192346.html,"34,99 USD · ★3,8 (23) · 1 bild · ingen video",ja,71,Q4 NOW,Ankare Hunter 1 299 på jakt.se; Biltema saknar formen,"1 bild, ej bedömt","Landad 365–428 över taket; betyg 3,8; syskon 41 USD. Konceptet håller men Temu-formen är för dyr.",—
HARD REJECT,MARKETPLACE FAILURE,dolda pärlor,"Bilspöhållare — sugkopp/magnet för biltak och fönster, 4 spön",601105758637623,https://www.temu.com/se/g-601105758637623.html,7.56 USD · ★4.5 (67) · 1 bilder · ingen video,ja,70,Q4 NOW,"Fyndiq '2 st Fiske Spöhållare Bil Justerbar … Suct' och 'Justerbar horisontell fiskespöhållare med sugkoppar … håller 4 spön'; Amazon.se sugkoppshållare (B0CRRN8JR9, B0CKJ3MHB4); MyTrendyPhone 'Bilhållare för fiskespö me","hero: hållaren på biltak med spön — ok, men irrelevant","Live 7,56 USD ★4,5 (67). Fyndiq 251 kr identisk 4-spöns sugkoppshållare i lager; Amazon.se, MyTrendyPhone, Sportfiskeprylar har kategorin.","ALTERNATIVE_LISTING_REQUIRED + VERIFY — (1) läs Fyndiq/Amazon-priserna på sugkoppsformen, (2) hitta en $10–15-listning med ≥ 4,7 och video av spön på en riktig "
HARD REJECT,PRICE FAILURE,bänk (fas 1 / V2.2 / batch 1),"Jaktparaply 58"" för torn/pass",601103949421856,https://www.temu.com/se/g-601103949421856.html,"157,93 USD · 1 bild",ja,68,Q4 NOW,Ameristep 479 hos en svensk återförsäljare,ej bedömt,Långt över 1 000 kr-taket.,—
HARD REJECT,PRICE FAILURE,bänk (fas 1 / V2.2 / batch 1),Hängrännesats till lövblås,601103248788835,https://www.temu.com/se/g-601103248788835.html,"134,68 USD · 1 bild",ja,68,OCTOBER,Stihl 745; Husqvarna 359–399,ej bedömt,Över taket; adapterpassform mot svenska blåsar.,—
HARD REJECT,MARKETPLACE FAILURE,bänk (fas 1 / V2.2 / batch 1),Sopkärlslocklås med rem,601101587576926,https://www.temu.com/se/g-601101587576926.html,"15,63 USD · 0 rec · 1 bild · ingen video",ja,62,Q4 NOW,Smartaskydd 459 ≈ vårt pris — inget ankare,hero med tvättbjörn + ekorre på grönt kärl (amerikansk kod),499 kr ligger över ankaret; 0 recensioner; enkel rem.,—
HARD REJECT,PRICE FAILURE,bänk (fas 1 / V2.2 / batch 1),"Tornsits med spännrem, camo",601099667428425,https://www.temu.com/se/g-601099667428425.html,"53,13 USD · ★4,7 (6) · 2 bilder · video",ja,60,Q4 NOW,Carinthia 559,ej bedömt,Landad 555–650 — över taket.,—
HARD REJECT,AUDIENCE FAILURE,dolda pärlor,"Väderskydd/regnöverdrag till studsmatta (rund, 305–427 cm)",606235185274302,https://www.temu.com/se/g-606235185274302.html,"7.76 USD (temu-sok-sida trampoline-covers-5020130946938 ('Trampoline Rain Cover, 8/10/12/14/15 ft, waterproof trampoline tarp' $7,76 — MEDIUM, priset kan inte kopplas till goods_id). Seznam gav id 606235185274302 på frasen 'trampoline rain cover waterproof tarp 12ft 14ft' utan prisutdrag. Alt 601101986595225: 6 ft 'heavy duty roof cover' $20 (seznam-snippet).)",nej,55,OCTOBER,"Kedjor: Rusta säljer nät/stege/förankring (inget väderskydd sett), Biltema 'Tillbehör till studsmattor' och Jula ej verifierade → PENDING. Marketplace (Amazon.se/Fyndiq) ej läst.",ej sett,"Barnfamiljen är inte butikens publik; 7,76 USD för ett 4 m-överdrag är en tunn tarp; presenningen är köpt old way som funkar.",WATCH — kolla Rusta/Biltema/Jula i butik på 'väderskydd studsmatta' och Amazon.se-golvet; hämta 606235185274302 när Temu svarar och läs tygvikten. Test bara om 
HARD REJECT,MARKETPLACE FAILURE,evergreen,"Underredestvätt på hjul för högtryckstvätt (4 munstycken, 3 förlängningsrör)",601099532135433,https://www.temu.com/se/g-601099532135433.html,UNKNOWN,nej,52,OCTOBER,"Autodude 'Dr Dirt Undercarriage Washer, snabbkoppling' — SAMMA FORM (4×40° munstycken, 125 mm hjul, 118 cm 3-delat rör) 679 kr (rea, ord. 849). Biltema 'Underspolningsrör' 2000032922 (lans, annan form, pris ej läst — 403",ej sett,Autodude 679 / Bilvårdsbutiken 749 i exakt formen ≈ vårt pris; payoffen (ingen rost) syns om fem år.,"FAIL (ankarläge) — väcks bara av en listning ≤ 18 USD med bruksvideo, och då som 499 kr-produkt mot 679-ankaret (1,36×, fortfarande under 1,6)"
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Fiskeadventskalender 24 luckor – rovfisk (gädda/abborre),601100211255328,https://www.temu.com/se/g-601100211255328.html,24.78 USD · ★4.0 (1) · 1 bilder · ingen video,ja,48,BLACK WEEK / GIFT,"Fyndiq – Temu-typ fiskekalender 24 luckor: 250–361 kr (flera säljare); sebutik.se 429 kr (från 798); Fladen Fiskarens julkalender 289–449 kr (PriceRunner, 24 delar, riktigt märke) — 250 kr","1 bild, ingen video","Live 24,78 USD ★4,0 (1): 1,7–1,9× vid 499. Fyndiq 250–361 identisk, Fladen 329, ≥ 9 Meta-annonsörer. Daterad 2025.","WATCH / TEST ONLY IF DIFFERENTIATED — testa bara med (a) svensk rovfisk-etikett och egen bildsättning, (b) 499 kr med 'fri frakt + framme före 1 dec'-löfte, (c)"
HARD REJECT,PRICE FAILURE,evergreen,"Solcells-/batteridriven magnetisk trådlös backkamera med 5–7"" monitor för släp/husvagn",601101021099794,https://www.temu.com/se/g-601101021099794.html,"101.0 USD (seznam-snippet 2026-09-05: 601101021099794 = $101, ★4,8 / 96 % (44); 601099817355866 = $121, ★5,0 / 100 % (28); 601099921384561 = $166, ★4,5 / 90 % (75); 601104463197201 ★4,5 / 90 % (15) utan pris. Temu search_result.html: $148,94 (7"", ord. 415,57) och $220,74 (7"", ord. 578,76); -s.html: $99,75 (5""))",nej,48,EVERGREEN,"Prylstaden 'Trådlös backkamera med 5"" monitor' 895 kr (rea, ord. 1 495) — samma funktion, 12 V-driven — 895 kr",ej sett,"101 USD → landad 1 054–1 236 kr, över 1 000 kr-taket. Strukturellt för formen.","FAIL (ekonomi, strukturell för formen)"
HARD REJECT,PRICE FAILURE,dolda pärlor,Dörrgardin/vindflärp till hundkoja (PVC-lameller eller vadderad dörrflärp),601099770975699,https://www.temu.com/se/g-601099770975699.html,UNKNOWN,nej,48,OCTOBER,"Amazon.se: Ferplast dörrgardin för utomhushundkojor (transparent PVC-lameller, 27,5×42 cm för Domus Medium/Canada 2) — pris oläst; Kerbl 4-Season/Hendry-kojor levereras MED köldridå (Granngården, VetZoo, zooplus)",ej sett,PVC-remsor $4–8 → landad 42–98 kr bär inte 300 kr; Ferplast på Amazon.se; nyare kojor har gardin; mätning = variantfriktion.,WATCH — läs Ferplast-priset och Temu-priset på den vadderade flärpen; under $10 och Ferplast > 400 kr → test som 'andra produkt' till hundgårdshuvens publik. An
HARD REJECT,MARKETPLACE FAILURE,evergreen,Hund i bil: hopfällbart bagagerumsskydd med stötfångarflärp,601099623990583,https://www.temu.com/se/g-601099623990583.html,UNKNOWN,nej,45,EVERGREEN,"Trixie 'skydd för bagageutrymmet' med avtagbart stötfångarskydd 499 kr (zooplus) — SAMMA FORM; Biltema 'Bagagerumsskydd och bag' 2000040024 + 'Stötfångarskydd' 2000030810 (priser ej lästa, 403) — 499 kr",ej sett,Trixie bagagerumsskydd med stötfångarflärp 499 kr i varje djurbutik.,FAIL (hylla)
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Fältknivslip med vinkelguide (Work Sharp-typ) – 11-i-1 med läderfodral,601105480032013,https://www.temu.com/se/g-601105480032013.html,UNKNOWN,nej,44,Q4 NOW (jaktsäsong) + GIFT,"Jägarliv fickknivslip (keramik/hårdmetall) 49 kr; Biltema knivslip (pris oläst, 403) — 49 kr",ej sett,Work Sharp-originalet 395 kr i svensk fackhandel = vår nivå; Jägarliv/Biltema knivslip 49 kr; 1 243 knivslipannonser i SE.,WATCH — testas bara om Temu-pris ≤ 9 USD och 299 kr håller BE-CPA ≥ 190.
HARD REJECT,MARKETPLACE FAILURE,evergreen,"Trådlösa magnetiska LED-släplyktor, uppladdningsbara (par)",602613789643197,https://www.temu.com/se/g-602613789643197.html,UNKNOWN,nej,44,EVERGREEN,"Biltema 'Trådlösa baklyktor med magnetfäste' 2000046997 — KEDJAN, SAMMA FORM (pris ej läst, 403); Jula Hamron ljusramp LED kablad 399 kr",ej sett,Biltema 'Trådlösa baklyktor med magnetfäste' samma form; latent behov.,FAIL (hylla)
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Fiskgrepp (lip grip) med inbyggd digital våg,601099513997309,https://www.temu.com/se/g-601099513997309.html,UNKNOWN,nej,40,BLACK WEEK / GIFT,"Biltema Lip Grip med våg 15 kg (pris oläst, 403 — Biltema ligger normalt 99–199 kr i kategorin); Jula Kayoba digital fiskevåg 149 kr — 149 kr",ej sett,Biltema har exakt formen (lip grip med våg) i butik.,WATCH — bara om Biltemas pris visar sig ≥ 249 kr och Rapala-ankaret ≥ 550 kr.
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Uppladdningsbar handvärmare 2-pack magnetisk (2 × 5 000–10 000 mAh),601099813456082,https://www.temu.com/se/g-601099813456082.html,"12 (4,8/96 %, 15 rec) – 20 (99+) för 2-pack magnetisk; 27 (99+) för 2-pack dubbelsidig med powerbank USD (seznam-snippet 2026-09-05 (formen, ej exakt id) — konfidens MEDIUM)",nej,40,Q4 NOW + GIFT,"Clas Ohlson Handvärmare återanvändbar USB 2 × 5 000 mAh — 299 kr (nedsatt från 399), SAMMA FORM (två enheter, magnet) — 299 kr",ej sett,"Clas Ohlson 2-pack magnetisk handvärmare 299 kr — exakt formen. Perfekt Q4-klocka, fel hylla.","REJECT (lärorikt): perfekt Q4-klocka, fel hylla."
HARD REJECT,MARKETPLACE FAILURE,evergreen,Borrslip (portabel elektrisk / Drill Doctor-typ) för slöa borr,601099625618025,https://www.temu.com/se/g-601099625618025.html,45.0 USD (seznam-snippet: 605605620215510 (96 W bänkmodell) = $45; de portabla (601099625618025 m.fl.) utan pris),nej,40,EVERGREEN,"Jula borrslip 269 kr (ur sökutdrag, forum) — KEDJAN, SAMMA FORM — 269 kr",ej sett,Jula borrslip 269 kr; 45 USD-formen landar 470–551 kr = över taket.,FAIL (hylla + ekonomi på ankarformen)
HARD REJECT,MARKETPLACE FAILURE,dolda pärlor,Solcellsdriven ljusgran för flaggstång (julbelysning utan sladd),601099525148864,https://www.temu.com/se/g-601099525148864.html,UNKNOWN,nej,40,BLACK WEEK / GIFT,"Clas Ohlson Northlight flaggstångsbelysning LED 9 m+ (230 V, 10 slingor) 699 kr, ej i lager; Bygghemma Formenta Glimma julbelysning från 625 kr — 625 kr",—,"Clas Northlight flaggstångsbelysning 625 kr, full svensk hylla; solcell i december räcker inte till 300 LED. Listning funnen 2026-09-05: Solar 280 LED star string, 9 strängar 3 m 'waterfall tree lights' — närmaste form (ej verifierad live).",FAIL (hyllan) / ALTERNATIVE_LISTING_REQUIRED om en flaggstångsspecifik solcellsgran med stort batteri dyker upp — och då bara som bundle med rank 1.
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Trefot eldstativ med kedja och grillgaller,601101390672416,https://www.temu.com/se/g-601101390672416.html,UNKNOWN,nej,38,BLACK WEEK / GIFT,"Jula Burns & Barkles Vildmarksgrill Ø46 cm – trefot med kedja, galler och eldfat, 359,20 kr exkl. moms ≈ 449 kr inkl. (ur sökutdrag) — 449 kr",ej sett,"Jula Vildmarksgrill trefot + kedja + galler 449 kr, med eldfat.",REJECT (lärorikt) — kedjan har formen billigare än vi kan landa den.
HARD REJECT,MARKETPLACE FAILURE,evergreen,Motorsågshållare vägg i stål (garage/förråd),606483873895498,https://www.temu.com/se/g-606483873895498.html,11.0 USD (seznam-snippet 2026-09-05: 606483873895498 = $11 (inget betyg i snippet)),nej,38,EVERGREEN,"Fyndiq 'Motorsågshållare, 1-pack väggfäste, kraftig' 244 kr i lager (ref. 246) — SAMMA FORM; Tradera 3D-printade 49–59 kr — 244 kr",ej sett,"11 USD, men Fyndiq motorsågshållare 244 kr i samma form; objektet förvaras inomhus.",FAIL (hylla + negativ rymd)
HARD REJECT,MARKETPLACE FAILURE,dolda pärlor,"Släpvagnskapell / flakkapell till kärran (PVC, 210×125 / 260×149 cm)",601099831705559,https://www.temu.com/se/g-601099831705559.html,UNKNOWN,nej,38,OCTOBER,"Biltema Släpkapell 260×149 cm (PE 180 g/m², art. 2000035998) och Jula Hamron Kapell till släpkärra 260×149 / 210×125 cm (PVC med spännband) — priser ej lästa (403), men KEDJAN HAR FORMEN",—,"Biltema 2000035998 och Jula säljer exakt formen i de två svenska standardmåtten. Listning funnen 2026-09-05: Heavy duty trailer cover tarpaulin 7×4 ft flat, PVC, reflexkant (UK-listning, ej verifierad live).",FAIL (hyllan: Biltema + Jula).
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Kallrökgenerator (labyrint/pelletsbricka) i rostfritt,601099529585777,https://www.temu.com/se/g-601099529585777.html,"21 USD (seznam-snippet 2026-09-05 ('Cena $21', UK-listning))",nej,36,Q4 NOW (kallrökning kräver kyla) + GIFT,"Malco.se Kallröksgenerator (passiv labyrint) 199 kr — SAMMA FORM; Deluxe 449, Big 529 — 199 kr",ej sett,21 USD → landad 219–257 kr; Malco.se identisk labyrint 199 kr. Temu är dyrare än svensk fackhandel.,REJECT (lärorikt): Temu dyrare än svensk fackhandel.
HARD REJECT,MARKETPLACE FAILURE,present/hobby,Trådlös grilltermometer med två sonder (500 ft) – julskinkan,601099761936638,https://www.temu.com/se/g-601099761936638.html,UNKNOWN,nej,35,BLACK WEEK / GIFT,"Clas Ohlson Grilltermometer trådlös digital LCD (44-5812), Jula Menuett trådlös stektermometer, Biltema stektermometer trådlös — alla kedjor har formen (priser olästa; kategorin ligger 199–399 kr)",ej sett,"Clas, Jula och Kjell har formen; jämförelsehandlad commodity med app-jättar.",REJECT — kedjan äger formen.
HARD REJECT,MARKETPLACE FAILURE,evergreen,Väggfäste/batterihållare för Makita 18V-batterier och maskiner (6–10-pack),601101646251756,https://www.temu.com/se/g-601101646251756.html,UNKNOWN,nej,35,EVERGREEN,"Fyndiq 'Set med 6 batterihållare för Makita' 260 kr i lager (ref. 270) — SAMMA FORM; Tradera kit 149 kr; Amazon.se 6-/10-pack (pris ej läsbart, 500) — 260 kr",ej sett,Fyndiq 6-pack Makita-hållare 260 kr i lager.,FAIL (hylla + negativ rymd)
